name,run,time,bytes_recv,bytes_sent,packets_recv,packets_sent,errin,errout,dropin,dropout,workers
local,0,1202.7001991271973,522878,970405,2892,2833,0,0,0,0,8
local,1,1173.0344791412354,371047,597354,2602,2573,0,0,0,0,8
local,2,1178.4623582363129,326841,714528,2622,2594,0,0,0,0,8
local,3,1578.714140176773,516288,1784667,3689,3604,0,0,0,0,8
local,4,1241.1195812225342,302394,443449,2617,2602,0,0,0,0,8
local,0,1634.8156652450562,411250,705759,3531,3505,0,0,0,0,4
local,1,1253.8960111141205,391278,588541,2865,2835,0,0,0,0,4
local,2,1224.062453508377,278543,266772,2466,2462,0,0,0,0,4
local,3,1231.5231046676636,272871,261468,2423,2420,0,0,0,0,4
local,4,1216.142823457718,274541,263306,2431,2433,0,0,0,0,4
local,0,1745.7759428024292,1066690,7153778,5678,5392,0,0,0,0,2
local,1,2122.240043401718,2155323,18309077,9748,8965,0,0,0,0,2
local,2,1769.0567712783813,1795437,15325657,8016,7479,0,0,0,0,2
local,3,1755.250447511673,1219440,9096994,6310,5967,0,0,0,0,2
local,4,1754.304844379425,434216,578169,3915,3902,0,0,0,0,2
local,0,3138.5285544395447,971367,2216751,7196,7100,0,0,0,0,1
local,1,4391.941536188126,3252608,25067980,16195,14889,0,0,0,0,1
local,2,5264.05775141716,5328727,45770094,24074,22275,0,0,0,0,1
local,3,4771.644191980362,4823729,41398185,21773,20177,0,0,0,0,1
local,4,3048.66770195961,3096089,26461925,13975,12967,0,0,0,0,1
opendap-hub-compressed,0,1699.499150276184,51897257799,441077064,10564263,6326047,0,0,0,0,8
opendap-hub-compressed,1,1661.882323026657,51896871815,441371184,10562576,6347355,0,0,0,0,8
opendap-hub-compressed,2,1634.5083932876587,51897104716,439298853,10568635,6331072,0,0,0,0,8
opendap-hub-compressed,3,1658.930559873581,51897601909,439037157,10576364,6326730,0,0,0,0,8
opendap-hub-compressed,4,1683.4586608409882,51901933040,440730723,10640273,6352237,0,0,0,0,8
opendap-hub-compressed,0,1862.9482889175415,51786553968,390555245,8886436,5604395,0,0,0,0,4
opendap-hub-compressed,1,1878.0110220909119,51790020452,392514950,8931189,5616438,0,0,0,0,4
opendap-hub-compressed,2,1924.232251405716,51787684012,391636868,8903199,5620565,0,0,0,0,4
opendap-hub-compressed,3,1872.6778151988983,51782921901,390165948,8833069,5598379,0,0,0,0,4
opendap-hub-compressed,4,1880.1613216400146,51778180881,388208470,8758103,5568844,0,0,0,0,4
opendap-hub-compressed,0,2922.7959730625153,51857020653,398099491,9938361,5721337,0,0,0,0,2
opendap-hub-compressed,1,2937.521675825119,51880889282,403282028,10299357,5799869,0,0,0,0,2
opendap-hub-compressed,2,2928.6801714897156,51873175159,401326041,10181684,5770215,0,0,0,0,2
opendap-hub-compressed,3,2938.6981654167175,51871195008,401222970,10151720,5768642,0,0,0,0,2
opendap-hub-compressed,4,2966.0532171726227,51867739030,398895021,10099553,5733326,0,0,0,0,2
opendap-hub-compressed,0,5455.4048800468445,51947596441,423879053,11255907,6077069,0,0,0,0,1
opendap-hub-compressed,1,5423.953124284744,51942505546,421671275,11189083,6075767,0,0,0,0,1
opendap-hub-compressed,2,5412.653576850891,51943659708,423071928,11205497,6097105,0,0,0,0,1
opendap-hub-compressed,3,5408.156486034393,51947606202,426700019,11264766,6151992,0,0,0,0,1
opendap-hub-compressed,4,5823.909333705902,51950613649,428785295,11344566,6185007,0,0,0,0,1
opendap-hub-uncompressed,0,1933.3609945774078,94033683410,902309972,20260807,13120550,0,0,0,0,8
opendap-hub-uncompressed,1,1904.7498965263367,93948841625,904118723,20324204,13209249,0,0,0,0,8
opendap-hub-uncompressed,2,1868.771006822586,93955006471,895299872,20436980,13235630,0,0,0,0,8
opendap-hub-uncompressed,3,1898.8051517009735,93958002632,897596727,20481170,13268875,0,0,0,0,8
opendap-hub-uncompressed,4,1855.3551349639893,93940320734,890073047,20214524,13155639,0,0,0,0,8
opendap-hub-uncompressed,0,2050.068969964981,93683527351,724954590,16319085,10683117,0,0,0,0,4
opendap-hub-uncompressed,1,2066.3102786540985,93692513176,729656296,16454581,10754978,0,0,0,0,4
opendap-hub-uncompressed,2,2089.567087650299,93693280110,732158456,16464348,10792136,0,0,0,0,4
opendap-hub-uncompressed,3,2057.426634788513,93685785040,725764114,16354600,10694943,0,0,0,0,4
opendap-hub-uncompressed,4,2088.0668754577637,93692151433,728584271,16449957,10738361,0,0,0,0,4
opendap-hub-uncompressed,0,2909.6204414367676,93723017018,707041564,16913757,10424359,0,0,0,0,2
opendap-hub-uncompressed,1,2932.478018760681,93716418730,704898524,16812561,10392040,0,0,0,0,2
opendap-hub-uncompressed,2,2942.328286886215,93707847074,701889214,16673095,10315467,0,0,0,0,2
opendap-hub-uncompressed,3,2866.109189271927,93704535539,698693091,16633710,10297841,0,0,0,0,2
opendap-hub-uncompressed,4,2890.120328426361,93708798077,701887993,16698838,10346512,0,0,0,0,2
opendap-hub-uncompressed,0,5132.900292873383,93831394092,725069353,18556663,10699869,0,0,0,0,1
opendap-hub-uncompressed,1,4852.347319364548,93829562787,724666520,18530627,10694134,0,0,0,0,1
opendap-hub-uncompressed,2,4900.227407217026,93817930495,725705736,18353393,10709731,0,0,0,0,1
opendap-hub-uncompressed,3,4869.555209875107,93826894408,722933013,18488810,10667819,0,0,0,0,1
opendap-hub-uncompressed,4,4868.183313131332,93827332219,720881507,18496652,10636817,0,0,0,0,1
